GVID-100527,oracle-mysql-cve-2016-0546
GVID-100528,oracle-mysql-cve-2016-0594
GVID-100529,oracle-mysql-cve-2016-0595
GVID-100530,oracle-mysql-cve-2016-0596
GVID-100531,oracle-mysql-cve-2016-0597
GVID-100532,oracle-mysql-cve-2016-0598
GVID-100533,oracle-mysql-cve-2016-0599
GVID-100534,oracle-mysql-cve-2016-0600
GVID-100535,oracle-mysql-cve-2016-0601
GVID-100536,oracle-mysql-cve-2016-0605
GVID-100537,oracle-mysql-cve-2016-0606
GVID-100538,oracle-mysql-cve-2016-0607
GVID-100539,oracle-mysql-cve-2016-0608
GVID-100540,oracle-mysql-cve-2016-0609
GVID-100541,oracle-mysql-cve-2016-0610
GVID-100542,oracle-mysql-cve-2016-0611
GVID-100543,oracle-mysql-cve-2016-0616
GVID-100544,oracle-mysql-cve-2016-0639
GVID-100545,oracle-mysql-cve-2016-0640
GVID-100546,oracle-mysql-cve-2016-0641
GVID-100547,oracle-mysql-cve-2016-0642
GVID-100548,oracle-mysql-cve-2016-0643
GVID-100549,oracle-mysql-cve-2016-0644
GVID-100550,oracle-mysql-cve-2016-0646
GVID-100551,oracle-mysql-cve-2016-0647
GVID-100552,oracle-mysql-cve-2016-0648
GVID-100553,oracle-mysql-cve-2016-0649
GVID-100554,oracle-mysql-cve-2016-0650
GVID-100555,oracle-mysql-cve-2016-0651
GVID-100556,oracle-mysql-cve-2016-0652
GVID-100557,oracle-mysql-cve-2016-0653
GVID-100558,oracle-mysql-cve-2016-0654
GVID-100559,oracle-mysql-cve-2016-0655
GVID-100560,oracle-mysql-cve-2016-0656
GVID-100561,oracle-mysql-cve-2016-0657
GVID-100562,oracle-mysql-cve-2016-0658
GVID-100563,oracle-mysql-cve-2016-0659
GVID-100564,oracle-mysql-cve-2016-0661
GVID-100565,oracle-mysql-cve-2016-0662
GVID-100566,oracle-mysql-cve-2016-0663
GVID-100567,oracle-mysql-cve-2016-0665
GVID-100568,oracle-mysql-cve-2016-0666
GVID-100569,oracle-mysql-cve-2016-0667
